   SAO	 m(phot)	 m(vis)	 dup&var	 RA(deg)	 DEC(deg)	 RAchange(deg/yr)	 DECchange(deg/yr)
 12890	 99.90	 5.80		 0	 56.50487846	 67.20162388	 0.00006720	 -0.00003194
 12891	 99.90	 5.00		 0	 56.50958245	 63.34506134	 -0.00000294	 -0.00000361
 12916	 99.90	 4.70		 0	 57.38007066	 65.52604832	 -0.00000462	 -0.00000361
 12917	 99.90	 6.00		 0	 57.40275407	 63.29723081	 -0.00001092	 -0.00001417
 12968	 99.90	 5.20		 0	 59.28451258	 61.10891628	 -0.00000252	 -0.00000417
 12969	 99.90	 4.90		 0	 59.35561724	 63.07220843	 0.00000042	 0.00000056
 13075	 99.90	 5.60		 0	 64.22348560	 61.85028325	 0.00000672	 -0.00000278
 13098	 99.90	 5.40		 0	 65.16789857	 65.14049857	 -0.00002100	 -0.00000167
 13113	 99.90	 5.70		 0	 65.44840277	 60.73581634	 0.00003024	 -0.00003028
 13196	 99.90	 5.90		 0	 69.10065822	 64.26138391	 -0.00001722	 -0.00000444
 13291	 99.90	 5.80		 0	 73.02169286	 63.50536411	 0.00002436	 -0.00002722
 13298	 99.90	 4.40		 0	 73.51265140	 66.34269337	 0.00000042	 0.00000139
 13351	 99.90	 4.20		 0	 75.85459373	 60.44226074	 -0.00000336	 -0.00000444
 13409	 99.90	 6.00		 0	 78.26318655	 61.85008615	 0.00000672	 0.00000167
 13460	 99.90	 5.90		 0	 80.09429099	 62.65382820	 -0.00000084	 0.00000056
 13518	 99.90	 5.80		 0	 82.54255886	 63.06729188	 -0.00000378	 -0.00000111
 13550	 99.90	 6.00		 2	 84.31304262	 64.15464527	 0.00000168	 -0.00001944
 13570	 99.90	 5.80		 0	 85.61021381	 65.69764293	 -0.00000210	 -0.00000611
 13756	 99.90	 5.40		 0	 93.21283763	 65.71844016	 0.00000420	 -0.00000917
 13772	 99.90	 5.60		 0	 93.91935844	 59.99913788	 0.00001848	 -0.00000583
 13787	 99.90	 5.30		 0	 94.47877973	 61.51531080	 -0.00000252	 -0.00000111
 13788	 99.90	 4.70		 0	 94.71175076	 69.31984674	 0.00000252	 -0.00002944
 13897	 99.90	 6.00		 0	 99.42252320	 61.48120834	 -0.00012180	 -0.00007666
 13973	 99.90	 5.00		 0	 102.73814520	 67.57193523	 0.00000336	 0.00000083
